"reader","det_type","date","time","desc"
"R1","E","2013-06-11","05:12:57.60","upload 15 complete"
"R1","E","2013-06-19","05:35:56.73","Reader stopped -- low voltage: 6.7V"
"R1","E","2013-06-19","05:35:56.73","reader power down"
"R1","E","2013-06-19","05:35:56.27","reader halted"
"R1","E","2013-06-19","05:35:56.27","closing database file"
"R1","E","2014-04-11","06:54:12.64","supply power ok 12.2V"
"R1","E","2014-04-11","06:54:12.64","database file opened"
"R1","E","2014-04-11","06:54:12.64","starting reader after power up"
"R1","E","2014-04-11","07:01:32.28","parameter change: 2 antennas"
"R1","E","2014-04-11","07:01:54.26","parameter change: mux sequence 1"
"R1","E","2014-04-11","07:02:34.92","parameter change: mux sequence 2"
"R1","E","2014-04-11","07:20:58.30","parameter change: mux sequence 1"
"R1","E","2014-04-11","07:56:16.82","parameter change: mux sequence 2"
"R1","E","2014-04-11","11:40:00.00","date/time changed. Was 2014-04-11 08:13:46.07"
"R1","E","2014-04-11","11:40:35.86","parameter change: mux sequence 12"
"R1","E","2014-04-16","12:49:17.38","supply power ok 11.4V"
"R1","E","2014-04-16","12:49:17.38","database file opened"
"R1","E","2014-04-16","12:49:17.38","starting reader after power up"
"R1","E","2014-04-16","13:07:06.92","supply power ok 11.4V"
"R1","E","2014-04-16","13:07:06.92","database file opened"
"R1","E","2014-04-16","13:07:06.93","starting reader after power up"
"R1","E","2014-04-18","10:13:54.26","upload 16 complete"
"R1","E","2014-04-22","07:43:07.09","supply power ok 12.7V"
"R1","E","2014-04-22","07:43:07.09","database file opened"
"R1","E","2014-04-22","07:43:07.09","starting reader after power up"
"R1","E","2014-04-22","07:56:23.11","upload 17 complete"
"R1","E","2014-04-24","13:00:29.04","parameter change: mux sequence 3"
"R1","E","2014-04-24","13:18:42.87","parameter change: mux sequence 123"
"R1","E","2014-04-24","13:24:49.52","upload 18 complete"
"R1","E","2014-04-24","13:42:37.11","supply power ok 12.7V"
"R1","E","2014-04-24","13:42:37.11","database file opened"
"R1","E","2014-04-24","13:42:37.11","starting reader after power up"
"R1","E","2014-04-25","14:05:38.89","supply power ok 12.4V"
"R1","E","2014-04-25","14:05:38.89","database file opened"
"R1","E","2014-04-25","14:05:38.89","starting reader after power up"
"R1","E","2014-04-28","14:37:44.07","supply power ok 12.3V"
"R1","E","2014-04-28","14:37:44.07","database file opened"
"R1","E","2014-04-28","14:37:44.07","starting reader after power up"
"R1","E","2014-05-02","09:02:56.97","supply power ok 12.3V"
"R1","E","2014-05-02","09:02:56.98","database file opened"
"R1","E","2014-05-02","09:02:56.98","starting reader after power up"
"R1","E","2014-05-02","09:07:45.75","™™"
"R1","E","2014-05-02","09:07:45.76","Column separator changed to Tabs"
"R1","E","2014-05-02","9:09:53","upload 19 complete"
"R1","E","2014-05-06","8:42:17","supply power ok 12.2V"
"R1","E","2014-05-06","8:42:17","database file opened"
"R1","E","2014-05-06","8:42:17","starting reader after power up"
"R1","E","2014-05-06","8:44:56","parameter change: mux sequence 12"
"R1","E","2014-05-06","8:49:36","upload 20 complete"
"R1","E","2014-05-07","10:29:02.29","upload 21 complete"
"R1","E","2014-05-07","11:03:09.02","parameter change: mux sequence 1"
"R1","E","2014-05-07","11:05:50.22","supply power ok 12.0V"
"R1","E","2014-05-07","11:05:50.22","database file opened"
"R1","E","2014-05-07","11:05:50.22","starting reader after power up"
"R1","E","2014-05-07","11:06:08.06","parameter change: mux sequence 1"
"R1","E","2014-05-07","11:06:57.84","parameter change: mux sequence 2"
"R1","E","2014-05-07","11:07:20.72","parameter change: mux sequence 1"
"R1","E","2014-05-07","11:10:35.38","parameter change: mux sequence 2"
"R1","E","2014-05-07","11:10:41.11","parameter change: mux sequence 12"
"R1","E","2014-05-09","08:26:19.79","upload 22 complete"
"R1","E","2014-05-09","08:28:05.18","parameter change: mux sequence 1"
"R1","E","2014-05-09","08:28:50.67","supply power ok 11.9V"
"R1","E","2014-05-09","08:28:50.67","database file opened"
"R1","E","2014-05-09","08:28:50.67","starting reader after power up"
"R1","E","2014-05-09","08:36:13.33","parameter change: mux sequence 2"
"R1","E","2014-05-09","08:39:11.21","parameter change: mux sequence 12"
"R1","E","2014-05-09","08:46:25.82","supply power ok 12.3V"
"R1","E","2014-05-09","08:46:25.82","database file opened"
"R1","E","2014-05-09","08:46:25.82","starting reader after power up"
"R1","E","2014-05-13","07:56:29.39","supply power ok 12.0V"
"R1","E","2014-05-13","07:56:29.39","database file opened"
"R1","E","2014-05-13","07:56:29.39","starting reader after power up"
"R1","E","2014-05-13","7:59:01","upload 23 complete"
"R1","E","2014-05-16","9:20:00","supply power ok 12.2V"
"R1","E","2014-05-16","9:20:00","database file opened"
"R1","E","2014-05-16","9:20:00","starting reader after power up"
"R1","E","2014-05-20","14:30:58.69","upload 25 complete"
"R1","E","2014-05-23","10:09:52.38","supply power ok 12.3V"
"R1","E","2014-05-23","10:09:52.38","database file opened"
"R1","E","2014-05-23","10:09:52.38","starting reader after power up"
"R1","E","2014-05-16","09:27:48.36","upload 24 complete"
"R1","E","2014-05-20","14:28:22.61","supply power ok 12.2V"
"R1","E","2014-05-20","14:28:22.61","database file opened"
"R1","E","2014-05-20","14:28:22.61","starting reader after power up"
"R1","E","2014-05-27","09:09:58.81","upload 27 complete"
"R1","E","2014-05-30","08:18:01.74","supply power ok 12.1V"
"R1","E","2014-05-30","08:18:01.74","database file opened"
"R1","E","2014-05-30","08:18:01.74","starting reader after power up"
"R1","E","2014-05-23","10:12:45.61","upload 26 complete"
"R1","E","2014-05-27","09:09:00.67","supply power ok 12.0V"
"R1","E","2014-05-27","09:09:00.67","database file opened"
"R1","E","2014-05-27","09:09:00.67","starting reader after power up"
"R1","E","2014-05-30","08:20:37.44","upload 28 complete"
"R1","E","2014-06-03","09:27:09.81","supply power ok 12.1V"
"R1","E","2014-06-03","09:27:09.81","database file opened"
"R1","E","2014-06-03","09:27:09.81","starting reader after power up"
"R1","E","2014-06-03","09:30:40.76","upload 29 complete"
"R1","E","2014-06-03","09:33:14.60","supply power ok 12.1V"
"R1","E","2014-06-03","09:33:14.60","database file opened"
"R1","E","2014-06-03","09:33:14.60","starting reader after power up"
"R1","E","2014-06-06","07:56:03.48","supply power ok 12.2V"
"R1","E","2014-06-06","07:56:03.48","database file opened"
"R1","E","2014-06-06","07:56:03.48","starting reader after power up"
"R1","E","2014-06-06","07:59:43.05","upload 30 complete"
"R1","E","2014-06-10","07:24:57.54","supply power ok 12.1V"
"R1","E","2014-06-10","07:24:57.54","database file opened"
"R1","E","2014-06-10","07:24:57.54","starting reader after power up"
"R1","E","2014-06-10","07:25:35.32","supply power ok 12.2V"
"R1","E","2014-06-10","07:25:35.32","database file opened"
"R1","E","2014-06-10","07:25:35.32","starting reader after power up"
"R1","E","2014-06-10","07:27:58.77","upload 31 complete"
"R1","E","2014-06-10","07:28:25.61","supply power ok 12.1V"
"R1","E","2014-06-10","07:28:25.61","database file opened"
"R1","E","2014-06-10","07:28:25.61","starting reader after power up"
"R1","E","2014-06-13","08:39:28.47","supply power ok 12.1V"
"R1","E","2014-06-13","08:39:28.47","database file opened"
"R1","E","2014-06-13","08:39:28.47","starting reader after power up"
"R1","E","2014-06-13","08:41:56.81","upload 32 complete"
"R1","E","2014-06-17","07:41:16.88","supply power ok 12.4V"
"R1","E","2014-06-17","07:41:16.88","database file opened"
"R1","E","2014-06-17","07:41:16.88","starting reader after power up"
"R1","E","2014-06-17","07:43:46.58","upload 33 complete"
"R1","E","2014-06-20","08:26:15.29","supply power ok 12.1V"
"R1","E","2014-06-20","08:26:15.29","database file opened"
"R1","E","2014-06-20","08:26:15.29","starting reader after power up"
"R1","E","2014-06-20","08:28:50.78","upload 34 complete"
"R1","E","2014-06-24","08:35:34.40","supply power ok 12.0V"
"R1","E","2014-06-24","08:35:34.40","database file opened"
"R1","E","2014-06-24","08:35:34.40","starting reader after power up"
"R1","E","2014-06-24","08:38:12.66","upload 35 complete"
